code,piece,fab,address
CH232W,20NC,SN/01,C-‚¢-1
CH232W,37C,SN/02,D-‚ -3
CH232W,37C,SN/02,E-‚ -1
CH232W,37C,SN/03,E-‚¢-1
CH232W,37C,SP/206,F-‚ -1
CH232W,37C,SP/207,F-‚¢-1
CH232WI,03C,SN/02,F-‚¦-3
CH232WI,03C,SP/206,G-‚ -3
CH232WI,03C,SP/207,G-‚¦-3
CH232WI,08C,SN/02,H-‚¤-1
CH232WI,08C,SP/206,H-‚¤-2
CH232WI,08C,SP/207,I-‚¢-1
CH232WI,08C,SP/209,K-‚¢-1
CH232WI,09C,SN/02,L-‚ -1
CH232WI,09C,SP/206,L-‚¢-1
CH232WI,09C,SP/207,M-‚ -3
CH232WI,09C,SP/209,M-‚¢-3
CH232WI,49C,SN/03,N-‚ -1
CH232WI,50C,SN/02,O-‚¦-1
CH232WI,50C,SN/03,Q-‚ -1
CH271,35C,SP/182,Q-‚¢-1
CH271,37C,SN/02,Q-‚¢-3
CH271,37C,SN/03,Q-‚¤-3
CH271I,03C,SN/01,Q-‚¤-4
CH271I,08C,SN/01,Q-‚¦-1
CH271I,08C,SN/02,Q-‚¦-3
CH271I,08C,SN/03,R-‚ -1
CH271I,08C,SN/03,R-‚ -2
CH271I,09C,SN/01,R-‚ -3
CH271I,09C,SN/02,R-‚¢-1
CH271I,09C,SP/184,R-‚¢-3
CH271I,17C,SN/01,R-‚¢-4
CH271I,41C,SN/03,R-‚¤-1
CH271I,42C,SN/02,R-‚¤-2
CH271I,49C,SN/01,R-‚¦-3
CH271I,49C,SN/02,S-‚ -1
CH271I,49C,SN/03,S-‚ -3
CH271I,50C,SN/02,S-‚¢-3
CH271I,50C,SN/02,S-‚¤-1
CH271I,50C,SN/03,S-‚¦-1
CH271I,50C,SN/03,S-‚¦-3
CH271I,50C,SP/181,S-‚¦-4
