code,piece,fab,address
CH232W,20NC,SP/206,C-‚¦-3
CH232W,20NC,SP/207,D-‚ -3
CH232W,37C,SN/03,F-‚¤-3
CH232WI,03C,SN/02,F-‚¦-3
CH232WI,03C,SN/03,H-‚¢-3
CH232WI,03C,SN/03,I-‚ -3
CH232WI,03C,SP/206,K-‚¤-3
CH232WI,03C,SP/207,K-‚¦-1
CH232WI,03C,SP/209,M-‚¢-3
CH232WI,08C,SP/206,M-‚¤-3
CH232WI,08C,SP/207,N-‚¢-1
CH232WI,08C,SP/209,Q-‚¤-3
CH232WI,09C,SP/206,Q-‚¦-1
CH232WI,09C,SP/207,R-‚¢-3
CH232WI,49C,SN/03,T-‚ -1
CH232WI,49C,SN/03,T-‚ -2
CH232WI,49C,SP/206,T-‚ -3
CH232WI,49C,SP/209,T-‚ -4
CH232WI,50C,SN/03,T-‚¢-1
CH271,37C,SN/02,T-‚¢-2
CH271,37C,SN/03,T-‚¢-3
CH271I,03C,SN/02,T-‚¢-4
CH271I,08C,SN/02,T-‚¤-1
CH271I,08C,SN/03,T-‚¤-2
CH271I,09C,SN/02,T-‚¤-3
CH271I,09C,SN/03,T-‚¤-4
CH271I,09C,SP/183,T-‚¦-1
CH271I,09C,SP/184,T-‚¦-2
CH271I,17C,SP/183,T-‚¦-3
CH271I,41C,SN/02,T-‚¦-4
CH271I,49C,SN/02,U-‚ -1
CH271I,49C,SN/02,U-‚ -2
CH271I,49C,SN/03,U-‚ -3
CH271I,49C,SP/183,U-‚ -4
CH271I,50C,SN/02,U-‚¢-1
CH271I,50C,SN/02,U-‚¢-2
CH271I,50C,SN/03,U-‚¢-3
