
01/29 計画分 TFC縫製カバー使用番地: 
==================================
013CH232W-37C SN/03(4)は、[B-あ-1](12)から[4]を使用してください。
013CH232W-37C SP/126N(4)は、[B-い-4](11)から[4]を使用してください。
013CH232WI-08C SP/126N(1)は、[D-あ-2](2)から[1]を使用してください。
013CH232WI-09C SN/03(2)は、[B-え-4](3)から[2]を使用してください。
013CH232WI-09C SP/126N(1)は、[G-い-4](1)から[1]を使用してください。
013CH232WI-49C SN/03(2)は、[B-い-1](3)から[2]を使用してください。
013CH232WI-50C SP/126N(1)は、[E-う-4](4)から[1]を使用してください。
-------------------------------------
コード (数量)  [製番]
013CH232WI-09C SN/03(1) [JUC000003986-01]
013CH232WI-49C SN/03(1) [JUC000003986-02]
013CH232W-37C SN/03(2) [JUC000003986-03]
013CH232WI-09C SN/03(1) [JUC000004074-01]
013CH232WI-49C SN/03(1) [JUC000004074-02]
013CH232W-37C SN/03(2) [JUC000004074-03]
013CH232WI-08C SP/126N(1) [JUC000004118-01]
013CH232WI-50C SP/126N(1) [JUC000004118-02]
013CH232W-37C SP/126N(2) [JUC000004118-03]
013CH232W-37C SP/126N(1) [JUC000004118-04]
013CH232WI-09C SP/126N(1) [JUC000004241-01]
013CH232W-37C SP/126N(1) [JUC000004241-02]
