データ区分,取引区分,製造指示番号,製造指示行番号,製造予定番号,製造予定行番号,受注番号,受注行番号,会計年月,事業所コード,事業所名,部門コード,部門名,担当者コード,担当者名,製造先コード,製造先名,品種分類コード,品種分類名,品種コード,品種名,商品コード,商品名,規格,ロット番号,製造構成パターンコード,製造構成パターン名,製造開始日,開始バケットコード,開始バケット名,製造納期,納期バケットコード,納期バケット名,検査フラグ,検査フラグ名,製品数,商品ランク,商品ランク名,受入指示数,受入数,単位名,消費税内外区分,掛率,外注単価,外注金額,外注消費税,原価単価,原価金額,倉庫コード,倉庫名,型式1,型式2,図番,設備コード,設備名,製番,受入明細摘要,支払先コード,支払先名,消費税内外表記区分,支払区分,支払帳端区分,支払方法コード,支払方法名,支払予定日,案件番号,債務科目区分,債務科目区分名,セグメントコード１,セグメントコード１名,セグメントコード２,セグメントコード２名,セグメントコード３,セグメントコード３名,得意先部門コード分類コード,得意先部門コード分類名,部門グループ2分類コード,部門グループ2分類名,分析3コード,分析3コード名,分析4コード,分析4コード名,分析5コード,分析5コード名,製造ステータス,承認ステータス,製造指示エントリ区分,製造指示確定区分,取消ステータス,HUKLA品番,仕様,ピース,パーツ,木色,張地1,張地2,特区,進捗登録日,進捗摘要
製造指示,内作,SZS000002822,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,T725    E  03    C      22/5600,,,,2019/12/24,,,2019/12/24,,,0,検査しない,1,0,A,10,10,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000020-01,ｶﾊﾞｰのみ　E仕様,,,,,今回,,,,140688,,,,,,,,,,,,,,,,,,,済,承認済,製番手配入力,確定,,T725,E,03,C,,22/5600,,,2019/12/03,
製造指示,内作,SZS000003084,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N528       41S      DB  48/2608,,,,2019/12/24,,,2019/12/24,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000059-01,部材問合わせ済:48/2608,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N528,,41S,,DB,48/2608,,,,
製造指示,内作,SZS000003089,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N528       50       DB  48/2608,,,,2019/12/24,,,2019/12/24,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000059-02,,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N528,,50,,DB,48/2608,,,,
製造指示,内作,SZS000003093,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N528       36           48/2608,,,,2019/12/24,,,2019/12/24,,,0,検査しない,2,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000059-03,,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N528,,36,,,48/2608,,,,
製造指示,内作,SZS000003099,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,CU      FN 5050         48/2009,,,,2019/12/24,,,2019/12/24,,,0,検査しない,1,0,A,10,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000059-04,部材問合わせ済:48/2009,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,CU,FN,5050,,,48/2009,,,,
製造指示,内作,SZS000003273,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,T428       03           48/2009 L1/219,,,,2019/12/21,,,2019/12/21,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000074-01,UG 12/25DP希望,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,T428,,03,,,48/2009,L1/219,,,
製造指示,内作,SZS000003280,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,T428       17           48/2009 L1/219,,,,2019/12/21,,,2019/12/21,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000074-02,12/25DP希望,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,T428,,17,,,48/2009,L1/219,,,
製造指示,内作,SZS000003284,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,CU      FN 4545         48/2207,,,,2019/12/21,,,2019/12/21,,,0,検査しない,2,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000075-01,,,,,,今回,,,,155287,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,CU,FN,4545,,,48/2207,,,,
製造指示,内作,SZS000003491,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N528       49       GY  18/3929,,,,2019/12/20,,,2019/12/20,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000098-01,UG　部材確認済18/3929,,,,,今回,,,,155788,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N528,,49,,GY,18/3929,,,,
製造指示,内作,SZS000003496,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N528       42S      GY  18/3929,,,,2019/12/20,,,2019/12/20,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000098-02,部材確認済18/3929,,,,,今回,,,,155788,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N528,,42S,,GY,18/3929,,,,
製造指示,内作,SZS000003500,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N528       37           18/3929,,,,2019/12/20,,,2019/12/20,,,0,検査しない,2,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000098-03,部材確認済18/3929,,,,,今回,,,,155788,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N528,,37,,,18/3929,,,,
製造指示,内作,SZS000003504,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,CU      FN 4545         48/2009,,,,2019/12/20,,,2019/12/20,,,0,検査しない,1,0,A,10,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000098-04,部材確認済48/2009,,,,,今回,,,,155788,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,CU,FN,4545,,,48/2009,,,,
製造指示,内作,SZS000003558,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N068    M  10       BL  58/2272,,,,2019/12/11,,,2019/12/11,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000102-01,UG　№103　N068と同ﾛｯﾄ,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N068,M,10,,BL,58/2272,,,,
製造指示,内作,SZS000003564,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N068    M  11L      BL  58/2279,,,,2019/12/11,,,2019/12/11,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000102-02,№103　N068と同ﾛｯﾄ,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N068,M,11L,,BL,58/2279,,,,
製造指示,内作,SZS000021132,1,,,,0,2019/12,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N068    M  32       BL  58/2279,,,,2019/12/11,,,2019/12/11,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000102-03,,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N068,M,32,,BL,58/2279,,,,
製造指示,内作,SZS000003570,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,N068    M  10L      BL  58/2279,,,,2019/12/11,,,2019/12/11,,,0,検査しない,1,0,A,20,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000102-04,,,,,,今回,,,,,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,N068,M,10L,,BL,58/2279,,,,
製造指示,内作,SZS000003574,1,,,,0,2019/11,100,日本フクラ,0061,南濃工場,8205,検査,A0Z001,自倉庫,4,その他,Z001,作業,Z051,検査・梱包,CU      FN 4545         18/3918,,,,2019/12/11,,,2019/12/11,,,0,検査しない,1,0,A,10,0,　,,0,0,0,0,0,0,A0Z001,自倉庫,,,,5101,検査,JUC000000102-05,,,,,,今回,,,,155824,,,,,,,,,,,,,,,,,,,,承認済,製番手配入力,確定,,CU,FN,4545,,,18/3918,,,,
