製品区分,製品コード,製造指示番号,手配区分名,製番,納期,指示数,単位名,受入数,製番ステータス区分,備考,登録日,手配区分,商品コード,商品名,規格,型式,図番,品種分類コード,品種分類名,品種コード,品種名,張地種別,型紙区分１,型紙区分２,張地番号１,張地番号２,張地幅１,張地幅２,ファスナー色１,ファスナー色２,マジックテープ色１,マジックテープ色２,糸番１,糸番２,洗濯表示１,洗濯表示２,品番,仕様,ピース,パーツ,木色,特区
CH1069  I,CH1069  I  03           SP/178,SZS000006741,製番手配入力,JUC000001937-01,2019/12/09,1,ﾋﾟｰｽ,0,0,B 9　　C 6,2019/11/18,5,CH1069  0000083,ｱﾆﾀ 3Pｿﾌｧ,CH1069  I  03           SP/178,,,1,製品,0011,ソファ,布,G,,SP/178,,1.40000,,BE,,BE,,1022,,,,CH1069,I,03,,,
CH1070  I,CH1070  I  03L          SP/183,SZS000000966,製番手配入力,JUC000000096-01,2019/12/02,1,ﾋﾟｰｽ,0,0,B 11/6入分　　C 11/29入予分,2019/11/05,5,CH1070  0000102,ﾉﾄｽ 3.5Pｿﾌｧ,CH1070  I  03L          SP/183,,,1,製品,0011,ソファ,布,G,,SP/183,,1.48000,,BL,,BL,,1017,,J,,CH1070,I,03L,,,
CH1070  I,CH1070  I  03L          SP/183,SZS000001594,製番手配入力,JUC000000175-01,2019/12/06,1,ﾋﾟｰｽ,0,0,03LB:10/31ETD(11/13) 03LC:11/21ETD(12/6),2019/11/06,5,CH1070  0000102,ﾉﾄｽ 3.5Pｿﾌｧ,CH1070  I  03L          SP/183,,,1,製品,0011,ソファ,布,G,,SP/183,,1.48000,,BL,,BL,,1017,,J,,CH1070,I,03L,,,
CH1070  I,CH1070  I  17           SP/183,SZS000001597,製番手配入力,JUC000000175-02,2019/12/06,1,ﾋﾟｰｽ,0,0,17:11/21ETD(12/6)　17C:10/31ETD(11/13),2019/11/06,5,CH1070  0000100,ﾉﾄｽ/ｱﾆﾀ ｽﾂｰﾙ,CH1070  I  17           SP/183,,,1,製品,0011,ソファ,布,G,,SP/183,,1.48000,,BL,,BL,,1017,,J,,CH1070,I,17,,,
CH1071  SN,CH1071  SN 03SET    DB  SN/01,SZS000004836,製番手配入力,JUC000001334-01,2019/12/04,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000085,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SN/01,,,1,製品,0011,ソファ,布,G,,SN/01,,1.42000,,BE,,BE,,104,,,,CH1071,SN,03SET,,DB,
CH1071  SN,CH1071  SN 03SET    DB  SN/03,SZS000003140,製番手配入力,JUC000000614-01,2019/12/26,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000019,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SN/03,,,1,製品,0011,ソファ,布,G,,SN/03,,1.42000,,BE,,BE,,104,,,,CH1071,SN,03SET,,DB,
CH1071  SN,CH1071  SN 03SET    DB  SP/126N        Z,SZS000004011,製番手配入力,JUC000001024-01,2019/12/12,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000087,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/126N        Z,,,1,製品,0011,ソファ,布,G,,SP/126N,,1.37000,,BR,,BE,,108,,I,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/178         Z,SZS000004006,製番手配入力,JUC000001022-01,2019/12/12,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000096,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/178         Z,,,1,製品,0011,ソファ,布,G,,SP/178,,1.40000,,BE,,BE,,1022,,,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/183         Z,SZS000005111,製番手配入力,JUC000001561-01,2019/12/09,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000083,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/183         Z,,,1,製品,0011,ソファ,布,G,,SP/183,,1.48000,,BL,,BL,,1017,,J,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/191         Z,SZS000003753,製番手配入力,JUC000000906-01,2019/11/27,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000117,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/191         Z,,,1,製品,0011,ソファ,布,G,,SP/191,,1.40000,,BE,,BE,,104,,J,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/196         Z,SZS000004877,製番手配入力,JUC000001355-01,2019/12/14,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000116,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/196         Z,,,1,製品,0011,ソファ,布,G,,SP/196,,1.40000,,BE,,BE,,1004,,J,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/197         Z,SZS000003761,製番手配入力,JUC000000909-01,2019/11/27,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000093,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/197         Z,,,1,製品,0011,ソファ,布,G,,SP/197,,1.40000,,BE,,BE,,1007,,J,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/198         Z,SZS000003897,製番手配入力,JUC000000986-01,2020/03/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000103,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/198         Z,,,1,製品,0011,ソファ,布,G,,SP/198,,1.40000,,BL,,BL,,1519,,J,,CH1071,SN,03SET,,DB,Z
CH1071  SN,CH1071  SN 03SET    DB  SP/207         Z,SZS000004016,製番手配入力,JUC000001025-01,2019/12/12,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH1071  0000088,ﾊﾟﾃｨｽﾄ 3Pｿﾌｧ ｾｯﾄ,CH1071  SN 03SET    DB  SP/207         Z,,,1,製品,0011,ソファ,布,G,,SP/207,,1.45000,,BE,,BE,,1004,,,,CH1071,SN,03SET,,DB,Z
