id,hinban,item,description,remarks,unit,uprice,ouritem,vol,zaiko,kento,hcode,cat
1,"A4サンプル SP/172(アッシュBE)","A4サンプル SP/172","布地:アッシュBE","サイズ:A4 四方ロック有り",pcs,1.0,"","",0,0,"",""
2,"A4サンプル SP/176(アッシュBR)","A4サンプル SP/176","布地:アッシュBR","サイズ:A4 四方ロック有り",pcs,1.0,"","",0,0,"",""
3,"A4サンプル SP/178(アッシュGY)","A4サンプル SP/178","布地:アッシュGY","サイズ:A4 四方ロック有り",pcs,1.0,"","",0,0,"",""
4,"A4サンプル SP/190 (ラルク モカ)","A4サンプル SP/190","布地:ラルク モカ","サイズ:A4 四方ロック有り",pcs,0.9,"",0.001048387,0,0,"",""
5,"A4サンプル SP/191 (ラルク グリーン)","A4サンプル SP/191","布地:ラルク グリーン","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
6,"A4サンプル SP/192 (ラルク ベージュ)","A4サンプル SP/192","布地:ラルク ベージュ","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
7,"A4サンプル SP/194 (ラルク キャメル)","A4サンプル SP/194","布地:ラルク キャメル","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
8,"A4サンプル SP/195 (ラルク クリーム)","A4サンプル SP/195","布地:ラルク クリーム","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
9,"A4サンプル SP/196 (ラルク コーヒー)","A4サンプル SP/196","布地:ラルク コーヒー","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
10,"A4サンプル SP/197 (ラルク ブルー)","A4サンプル SP/197","布地:ラルク ブルー","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
11,"A4サンプル SP/198 (ラルク ネイビー)","A4サンプル SP/198","布地:ラルク ネイビー","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
12,"A4サンプル SP/199 (ラルク オフ)","A4サンプル SP/199","布地:ラルク オフ","サイズ:A4 四方ロック有り",pcs,0.9,"","",0,0,"",""
13,"A4サンプル SP/206 (FREE 97)","A4サンプル SP/206","布地:FREE 97","サイズ:A4 四方ロック有り",pcs,0.36,"","",0,0,"",""
14,"A4サンプル SP/207 (FREE 96)","A4サンプル SP/207","布地:FREE 96","サイズ:A4 四方ロック有り",pcs,0.36,"","",0,0,"",""
15,"A4サンプル SP/209 (FREE 93)","A4サンプル SP/209","布地:FREE 93","サイズ:A4 四方ロック有り",pcs,0.36,"","",0,0,"",""
16,CE-720D,CE-720D,"未塗装 台輪","",PCS,18.4,"",0.08,0,0,"",""
17,CE-720LNB6NN,CE-720LNB6NN," Sofa アナベル2","塗装なし、革張り込み",pcs,239.8,"",0.48,0,0,"",""
19,CE-720W77HGB6,CE-720W77HGB6," Sofa アナベル2","",pcs,260.9,"",0.48,0,0,"",""
20,CE-720W77LNB6NN,CE-720W77LNB6NN,"Sofa アナベル2","",pcs,298.9,"",0.48,0,0,"",""
21,CE-720W77LNB6NN,"Sofa アナベル2 座のみ","CE-720W77LNB6NN用 座のみ","",pcs,"","","",0,0,"",""
22,CE-720W79D,"Sofa アナベル2(CE-720)用台輪 W79色",CE-720W79D,"",pcs,"","","",0,0,"",""
23,CE-720W79HGB6,CE-720W79HGB6," Sofa アナベル2","",pcs,260.9,"",0.48,0,0,"",""
24,CE-720W79LNB6NN,CE-720W79LNB6NN,"Sofa アナベル2","",pcs,298.9,"",0.48,0,0,"",""
25,"CE-720（Ｓｋｙｌｉｎｅ製の仕様変更試作品）","CE-720（Ｓｋｙｌｉｎｅ製の仕様変更試作品）","","[水谷智さん扱い]",pcs,"","",0.48,0,0,"",""
26,CE-721D,CE-721D,"未塗装 台輪","",PCS,13.5,"",0.0,0,0,"",""
27,CE-721LNB6NN,CE-721LNB6NN," Sofa アナベル2","革張り込み　塗装無し",pcs,"確認中","",0.13,0,0,"",""
28,CE-721W77HGB6,"Sofa アナベル2",CE-721W77HGB6,"",pcs,298.9,"",0.13,0,0,"",""
29,CE-721W77LNB6NN,CE-721W77LNB6NN," Sofa アナベル2","",pcs,51.04,"",0.13,0,0,"",""
30,CE-721W79LNB6NN,CE-721W79LNB6NN," Sofa アナベル2","",pcs,51.04,"",0.13,0,0,"",""
31,"CE-723 D","Sofa アナベル2(CE-723)用台輪 本塗装前品","CE-723 D","",pcs,"","","",0,0,"",""
32,CE-723D,CE-723D,"未塗装 台輪","",PCS,33.9,"",0.17,0,0,"",""
33,CE-723LNB6NN,CE-723LNB6NN," Sofa アナベル2","革張り込み 塗装無し",pcs,"確認中","",1.22,0,0,"",""
34,CE-723W77HGB6,"Sofa アナベル2",CE-723W77HGB6,"",pcs,298.9,"",0.13,0,0,"",""
35,CE-723W77LNB6NN,"Sofa アナベル2 座のみ","CE-723W77LNB6NN 座のみ1本分(3ヶ)","",pcs,"","","",0,0,"",""
36,CE-723W77LNB6NN,CE-723W77LNB6NN," Sofa アナベル2","",pcs,496.7,"",1.22,0,0,"",""
37,CE-723W79HGB6,"Sofa アナベル2(CE-720)用肘板 W79色",CE-72W79H,"",pcs,"","","",0,0,"",""
38,CE-723W79HGB6,"Sofa アナベル2",CE-723W79HGB6,"",pcs,298.9,"",0.13,0,0,"",""
39,CE-723W79LNB6NN,CE-723W79LNB6NN," Sofa アナベル2","",pcs,496.7,"",1.22,0,0,"",""
40,"CE-723（Ｓｋｙｌｉｎｅ製の仕様変更試作品）","CE-723（Ｓｋｙｌｉｎｅ製の仕様変更試作品）","","[水谷智さん扱い]",pcs,"","",1.22,0,0,"",""
41,CE-72G,CE-72G,"未塗装 側板","",PCS,6.2,"",0.002,0,0,"",""
42,CE-72H,CE-72H,"未塗装 肘板","",PCS,9.0,"",0.002,0,0,"",""
45,"CE-720-W77用梱包材一式","CE-720-W77用梱包材一式","梱包用ダンボール箱","",pcs,5.1,"",0.13,0,0,"",""
46,"CE-720-W79用梱包材一式","CE-720-W79用梱包材一式","梱包用ダンボール箱","",pcs,5.1,"","",0,0,"",""
47,"CE-720-W79用肘板","CE-720-W79用肘板","","",pcs,11.0,"",0.002,0,0,"",""
48,CE-720B,"CE-720 ボディヌード","","",pcs,122.6,"",0.51,0,0,"",""
49,"CE-720W77LNB6NN用梱包材","CE-720W77LNB6NN用梱包材","梱包用ダンボール","",pcs,5.0,"",0.05,0,0,"",""
50,"CE-720W79LNB6NN用梱包材","CE-720W79LNB6NN用梱包材","梱包用ダンボール","",pcs,5.0,"",0.05,0,0,"",""
51,"CE-723W77LNB6NN用梱包材","CE-723W77LNB6NN用梱包材","梱包用ダンボール","",pcs,"","","",0,0,"",""
52,"CE88-バネ","CE-88 コイルバネ","CE-88用コイルバネ","梱包してください",pcs,3.9,"",0.006,0,0,"",""
53,"CH1012-3P+0.5P SP/122N 試作","CH1012-3P+0.5P SP/122N 試作","安井家具オリジナル 試作","",pcs,"","","",0,0,"",""
54,"CH1013-3P+ST F15-7/2","CH1013-3P+ST F15-7/2","山新様分試作","",sets,"","","",0,0,"",""
55,"CH1014-20R/11L ZOFFI-45A","CH1014-20R/11L ZOFFI-45A","山新様分試作","",sets,"","","",0,0,"",""
56,"CH1015-0.5P 9027","CH1015-0.5P 9027","山新様分試作","",pcs,"","","",0,0,"",""
57,"CH1015-2P 9027 ","CH1015-2P 9027 ","山新様分試作","",pcs,"","","",0,0,"",""
58,"CH1015-3P 9027","CH1015-3P 9027","山新様分試作","",pcs,"","","",0,0,"",""
