code,piece,fab,address
013CH232-03C SP/126N,M-0029,*M-0029*,‚s‚e‚b‚b
013CH232-49C SP/126N,M-0047,*M-0047*,‚s‚e‚b‚b
013CH232-49C SP/126N,M-0047,*M-0047*,‚s‚e‚b‚b
013CH232-50C SP/126N,M-0052,*M-0052*,‚s‚e‚b‚b
013CH232-07C SP/180,M-0032,*M-0032*,‚s‚e‚b‚b
013CH232-08C SP/180,M-0034,*M-0034*,‚s‚e‚b‚b
013CH232-08C SP/180,M-0034,*M-0034*,‚s‚e‚b‚b
013CH232-08C SP/180,M-0034,*M-0034*,‚s‚e‚b‚b
013CH232-08C SP/180,M-0034,*M-0034*,‚s‚e‚b‚b
013CH232-09C SP/180,M-0038,*M-0038*,‚s‚e‚b‚b
013CH232-09C SP/180,M-0038,*M-0038*,‚s‚e‚b‚b
013CH232-09C SP/180,M-0038,*M-0038*,‚s‚e‚b‚b
013CH232-09C SP/180,M-0038,*M-0038*,‚s‚e‚b‚b
013CH232-09C SP/180,M-0038,*M-0038*,‚s‚e‚b‚b
013CH232-49C SP/180,M-0048,*M-0048*,‚s‚e‚b‚b
013CH232-49C SP/180,M-0048,*M-0048*,‚s‚e‚b‚b
013CH232-49C SP/180,M-0048,*M-0048*,‚s‚e‚b‚b
013CH232-49C SP/180,M-0048,*M-0048*,‚s‚e‚b‚b
013CH232-50C SP/180,M-0053,*M-0053*,‚s‚e‚b‚b
013CH232-50C SP/180,M-0053,*M-0053*,‚s‚e‚b‚b
013CH232-50C SP/180,M-0053,*M-0053*,‚s‚e‚b‚b
013CH232-50C SP/180,M-0053,*M-0053*,‚s‚e‚b‚b
013CH232-50C SP/180,M-0053,*M-0053*,‚s‚e‚b‚b
013CH232-50C SP/180,M-0053,*M-0053*,‚s‚e‚b‚b
013CH232-08C SP/181,M-0035,*M-0035*,‚s‚e‚b‚b
013CH232-08C SP/181,M-0035,*M-0035*,‚s‚e‚b‚b
013CH232-50C SP/181,M-0054,*M-0054*,‚s‚e‚b‚b
013CH232-07C SP/182,M-0033,*M-0033*,‚s‚e‚b‚b
013CH232-08C SP/182,M-0036,*M-0036*,‚s‚e‚b‚b
013CH232-08C SP/182,M-0036,*M-0036*,‚s‚e‚b‚b
013CH232-08C SP/182,M-0036,*M-0036*,‚s‚e‚b‚b
013CH232-09C SP/182,M-0039,*M-0039*,‚s‚e‚b‚b
013CH232-09C SP/182,M-0039,*M-0039*,‚s‚e‚b‚b
013CH232-09C SP/182,M-0039,*M-0039*,‚s‚e‚b‚b
013CH232-09C SP/182,M-0039,*M-0039*,‚s‚e‚b‚b
013CH232-49C SP/182,M-0050,*M-0050*,‚s‚e‚b‚b
013CH232-49C SP/182,M-0050,*M-0050*,‚s‚e‚b‚b
013CH232-50C SP/182,M-0055,*M-0055*,‚s‚e‚b‚b
013CH232-50C SP/182,M-0055,*M-0055*,‚s‚e‚b‚b
013CH232-50C SP/182,M-0055,*M-0055*,‚s‚e‚b‚b
013CH232-06C SP/183,M-0031,*M-0031*,‚s‚e‚b‚b
013CH232-17C SP/183,M-0041,*M-0041*,‚s‚e‚b‚b
013CH232-50C SP/183,M-0056,*M-0056*,‚s‚e‚b‚b
013CH232-03C SP/184,M-0030,*M-0030*,‚s‚e‚b‚b
013CH232-03C SP/184,M-0030,*M-0030*,‚s‚e‚b‚b
013CH232-08C SP/184,M-0037,*M-0037*,‚s‚e‚b‚b
013CH232-09C SP/184,M-0040,*M-0040*,‚s‚e‚b‚b
013CH232-49C SP/184,M-0051,*M-0051*,‚s‚e‚b‚b
